PSNR,SSIM,UIQM (Generated),UIQM (Ground Truth)
22.532928,0.9554265,4.9824877,4.7227297
22.990345,0.95346826,4.9826126,4.7226143
21.949902,0.94416636,4.982953,4.722762
21.637344,0.9523297,4.9824877,4.7225113
22.40505,0.9538504,4.983895,4.723673
25.527195,0.9675035,4.9830375,4.722716
22.075777,0.93847847,4.982431,4.7224407
23.825224,0.94420683,4.982503,4.7224936
22.139902,0.9557434,4.983315,4.7231774
26.891197,0.98565394,4.982876,4.722801
25.096153,0.97392756,4.982671,4.7226005
27.068958,0.9676394,4.9834013,4.7231526
25.046589,0.97803384,4.9826913,4.722647
20.137197,0.91528577,4.9827356,4.722868
23.451431,0.9438274,4.9824867,4.722456
22.40734,0.9386898,4.9824934,4.7223735
20.026253,0.93858206,4.982961,4.722607
23.98756,0.9761486,4.9825263,4.7226152
19.42362,0.91847557,4.9835114,4.7230477
21.769457,0.9414271,4.982468,4.72289
18.639343,0.87076384,4.9830604,4.7226353
18.7159,0.88374966,4.982716,4.7226486
18.077206,0.896393,4.9826446,4.7230277
23.781414,0.9580387,4.982413,4.7226596
24.082129,0.9434842,4.983039,4.722719
24.26893,0.9449552,4.9829764,4.722666
25.372019,0.972845,4.9831195,4.7230015
18.156313,0.8135793,4.9824452,4.7229238
24.354486,0.9464399,4.9825115,4.7224827
25.349747,0.97246945,4.9836683,4.7235203
22.34398,0.91377914,4.9828844,4.722749
24.079212,0.9530192,4.9832745,4.7232695
12.942541,0.69955885,4.982506,4.722635
24.877739,0.97331923,4.982467,4.722555
23.412352,0.9347826,4.9824944,4.7222953
21.341541,0.9680061,4.9829507,4.7228045
25.194809,0.9675143,4.983084,4.7229958
24.062595,0.9328547,4.982717,4.722609
21.293299,0.9195439,4.9824343,4.7223077
30.597397,0.9843864,4.982477,4.722356
25.461418,0.9684653,4.982458,4.722479
21.115665,0.9389317,4.982786,4.722798
24.91293,0.95247185,4.9824924,4.7223797
25.545578,0.9417351,4.9825377,4.7225323
24.146883,0.95906126,4.983032,4.722916
24.59446,0.97863245,4.9825826,4.7224097
22.828787,0.9525072,4.982441,4.7225895
21.752111,0.9306407,4.982869,4.722846
25.188951,0.96871454,4.9828343,4.7226567
21.414135,0.9615893,4.9829206,4.7230206
25.377644,0.9781004,4.9826612,4.72252
21.130459,0.97012085,4.8707,4.7987647
21.470882,0.9186182,4.871296,4.799248
22.606146,0.9137673,4.8709006,4.798969
20.773876,0.9319268,4.870723,4.7994227
22.820599,0.959374,4.8707247,4.7991133
21.265587,0.9217304,4.870699,4.7989373
21.669239,0.9230374,4.8716674,4.7997456
24.403952,0.9786852,4.8713374,4.799432
18.824068,0.79274195,4.8712606,4.799109
24.836632,0.9587446,4.8706923,4.7987256
24.497509,0.96686417,4.870963,4.7990727
23.82994,0.95182174,4.870708,4.79907
24.54737,0.95284426,4.8713846,4.799442
11.867645,0.32855645,4.8715034,4.798773
21.30335,0.9196325,4.8707733,4.799174
23.556702,0.9643447,4.8709073,4.799005
25.059143,0.9436356,4.870661,4.799156
25.449596,0.9794795,4.8707595,4.799056
22.290335,0.9511998,4.8707657,4.7990956
24.618425,0.9523757,4.871034,4.799129
22.06799,0.94043326,4.8709855,4.7991447
20.602417,0.9073664,4.870666,4.799138
22.184212,0.9197514,4.870766,4.799056
23.000458,0.9373852,4.8710303,4.799075
22.042475,0.9596627,4.871756,4.799839
26.180073,0.974525,4.8707542,4.799078
20.564653,0.85629237,4.870755,4.799301
22.15801,0.94930494,4.871043,4.799183
29.449224,0.9497517,4.8706317,4.79885
20.347973,0.9053438,4.870988,4.798959
22.827785,0.96495676,4.870901,4.799015
24.505777,0.9771205,4.87078,4.7990317
13.386747,0.55863523,4.8708115,4.798745
21.511036,0.9285691,4.8712597,4.7995143
17.903988,0.7807661,4.870772,4.7987604
14.722717,0.58807784,4.870897,4.7988553
25.007244,0.9751796,4.8714957,4.799626
17.75166,0.79017806,4.8706775,4.799674
22.058556,0.95852333,4.871166,4.799393
21.554234,0.906692,4.8707094,4.799023
22.563854,0.94126403,4.8711667,4.798972
21.40549,0.93106925,4.870761,4.7991533
22.226261,0.95058864,4.8707614,4.799106
27.302147,0.98053485,4.871119,4.7990403
25.642042,0.9829801,4.872117,4.8002048
22.891277,0.9557757,4.8711476,4.7992196
27.403776,0.98703784,4.871565,4.7994413
19.422848,0.9258467,4.8710203,4.799778
22.069004,0.91816044,4.8708687,4.7989554
25.744541,0.97629046,4.8709373,4.7990203
19.971605,0.94381005,4.871046,4.7991853
18.53265,0.88439083,4.8707237,4.7993937
26.310293,0.9731735,4.8706703,4.798856
18.810217,0.83991605,4.8715043,4.7992635
17.664751,0.738195,4.870991,4.798796
20.975836,0.9294919,4.8708353,4.7996216
25.257177,0.9822109,4.8707843,4.799034
18.007046,0.7355745,4.870733,4.799508
